idx,id,text,intent,urgency,events,reasons,suggest_intent,suggest_urgency,suggest_events,keyword_hits
4961,e1d5e5b67190e996728291137ea758df35773118,"simulasi evakuasi, haul truck standby MENUNGGU giliran operasi.!!",NON_SOS,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,
11501,e623bf36c2ebc0c91602e67b6f2a25da7860f6ca,"simulasi evakuasi, izin lewat warehouse.",NON_SOS,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,
12534,e623bf36c2ebc0c91602e67b6f2a25da7860f6ca,"simulasi EVAKUASI, IZIN lewat warehouse.",NON_SOS,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,
14055,645fe346a82e96eea5075488fa23c587afe11a76,"latihan evakuasi, briefing SELESAI, SEMUA personel lengkap.",NON_SOS,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,
16210,645fe346a82e96eea5075488fa23c587afe11a76,"latihan evakuasi, briefing selesai, semua personel lengkap.",NON_SOS,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,
20536,e1d5e5b67190e996728291137ea758df35773118,"simulasi evakuasi, haul truck standby menunggu giliran operasi.!!",NON_SOS,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,
5553,b96a5266e76772dace386a689ab6575bf0470a89,"ditemukan kepala terbentur plus perdarahan plus terbakar kulit di dispatch, update status. copy.",SOS,HIGH,,data_problem:invalid_events|kw_fire_missing_event,,,FIRE_EXPLOSION,\b(kebakaran|api|asap tebal|terbakar|meledak|ledakan|fire)\b
555,4c817a542c6a4523428ab5dac5aa30f668ea39a0,"Emergency drill simulasi evakuasi di primary crusher, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
966,4c817a542c6a4523428ab5dac5aa30f668ea39a0,"Emergency drill simulasi evakuasi DI PRIMARY crusher, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
1168,8e0580cb674a3ef1c077b9d4afd29ac8cdbf95ae,"Emergency drill simulasi evakuasi di DUMP point, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
2173,8e0580cb674a3ef1c077b9d4afd29ac8cdbf95ae,"Emergency drill simulasi evakuasi di dump point, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
2734,402fc07cd2d9f50faa7b1ffbcbb4fbc6bd909507,"Emergency drill simulasi evakuasi di tikungan hauling BARAT, SEMUA AMAN.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
2954,3ee7a7a6b303a929fd232aff2c5d5cd8edaf4b49,"Emergency drill drill drill drill simulasi evakuasi di pos timbang, SEMUA aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
3828,6ff076098bb04991577a3997ac62825d8517d4c4,"EMERGENCY DRILL simulasi evakuasi di hopper, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
5504,03889b61aaa7c813f67d7dedcb59fe8a93c5fbc5,"EMERGENCY DRILL simulasi evakuasi di ramp W, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
5949,724ca2530fa3d1dae089f04e6fb0894f534d8e3b,"Emergency drill SIMULASI EVAKUASI DI WASTE DUMP area, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
6378,3ee7a7a6b303a929fd232aff2c5d5cd8edaf4b49,"Emergency drill drill drill drill simulasi evakuasi di pos timbang, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
8032,6ff076098bb04991577a3997ac62825d8517d4c4,"Emergency drill simulasi evakuasi DI hopper, semua AMAN.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
8203,e47bf061fcd3966cd1c27d07ec9c3f6e6f5e6e6b,"Emergency drill simulasi evakuasi di LOWWALL, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos|kw_ground_failure_missing_event,,HIGH,GROUND_FAILURE,\b(emergency|darurat|tolong|urgent|segera)\b|\b(longsor|ambrol|runtuh|retak tanah|highwall|lowwall|slip)\b
9061,f5436dfbd611295b98d789e03c3b35cbc3a726a4,"Emergency drill simulasi evakuasi di ramp W, SEMUA AMAN.!!",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
9339,402fc07cd2d9f50faa7b1ffbcbb4fbc6bd909507,"Emergency drill simulasi evakuasi di tikungan hauling barat, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
